MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2017-10-29,India,New Zealand,Green Park,New Zealand,field,India
2023-10-17,Scotland,Ireland,"Desert Springs Cricket Ground, Almeria",Ireland,field,Scotland
2009-02-01,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,New Zealand
2008-02-03,South Africa,West Indies,New Wanderers Stadium,South Africa,field,South Africa
2005-11-16,India,South Africa,"Rajiv Gandhi International Stadium, Uppal",South Africa,field,South Africa
2015-02-24,West Indies,Zimbabwe,Manuka Oval,West Indies,bat,West Indies
2019-08-20,Scotland,Papua New Guinea,Mannofield Park,Papua New Guinea,field,Scotland
2019-07-04,England,Australia,Grace Road,England,bat,Australia
2003-02-23,Canada,West Indies,"SuperSport Park, Centurion",West Indies,field,West Indies
2015-11-20,England,Pakistan,Dubai International Cricket Stadium,England,bat,England
2008-06-29,West Indies,Australia,"National Cricket Stadium, St George's",Australia,field,Australia
2009-07-31,West Indies,Bangladesh,"Warner Park, Basseterre",West Indies,bat,Bangladesh
2005-05-18,Pakistan,West Indies,"Arnos Vale Ground, Kingstown",West Indies,field,Pakistan
2012-01-11,South Africa,Sri Lanka,Boland Park,South Africa,bat,South Africa
2014-11-23,Australia,South Africa,Sydney Cricket Ground,South Africa,bat,Australia
2010-03-02,Bangladesh,England,Shere Bangla National Stadium,England,field,England
2015-01-18,South Africa,West Indies,New Wanderers Stadium,West Indies,field,South Africa
2011-10-23,South Africa,England,Senwes Park,South Africa,field,England
2016-06-26,England,Sri Lanka,County Ground,England,field,No Result
2010-01-05,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,Sri Lanka
2021-09-09,United States of America,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Papua New Guinea,field,United States of America
2010-02-19,Australia,West Indies,Melbourne Cricket Ground,Australia,bat,Australia
2018-07-22,Pakistan,Zimbabwe,Queens Sports Club,Pakistan,bat,Pakistan
2003-02-09,West Indies,South Africa,"Newlands, Cape Town",West Indies,bat,West Indies
2010-06-05,India,Sri Lanka,Harare Sports Club,Sri Lanka,field,Sri Lanka
2006-10-13,Bangladesh,Zimbabwe,Sawai Mansingh Stadium,Zimbabwe,field,Bangladesh
2007-02-02,Bermuda,Canada,Gymkhana Club Ground,Bermuda,field,Canada
2011-09-08,Zimbabwe,Pakistan,Queens Sports Club,Pakistan,bat,Pakistan
2016-06-24,West Indies,South Africa,"Kensington Oval, Bridgetown",South Africa,field,West Indies
2019-06-05,Bangladesh,New Zealand,Kennington Oval,New Zealand,field,New Zealand
2014-05-31,England,Sri Lanka,Lord's,England,field,Sri Lanka
2003-05-10,Pakistan,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,Pakistan
2021-07-13,Pakistan,England,"Edgbaston, Birmingham",England,field,England
2013-08-03,Zimbabwe,India,Queens Sports Club,India,field,India
2014-02-26,Bangladesh,India,Khan Shaheb Osman Ali Stadium,India,field,India
2010-05-28,Zimbabwe,India,Queens Sports Club,India,bat,Zimbabwe
2016-02-09,South Africa,England,SuperSport Park,England,bat,South Africa
2011-03-30,India,Pakistan,"Punjab Cricket Association Stadium, Mohali",India,bat,India
2003-02-24,Kenya,Sri Lanka,"Gymkhana Club Ground, Nairobi",Sri Lanka,field,Kenya
2016-12-29,New Zealand,Bangladesh,Saxton Oval,Bangladesh,field,New Zealand
2019-01-25,United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,field,United Arab Emirates
2007-02-05,Kenya,Canada,Jaffery Sports Club Ground,Kenya,bat,Kenya
2022-04-16,Oman,Papua New Guinea,Dubai International Cricket Stadium,Oman,bat,Oman
2014-11-26,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,Bangladesh
2022-06-08,West Indies,Pakistan,Multan Cricket Stadium,West Indies,bat,Pakistan
2023-06-20,Netherlands,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2007-10-13,Sri Lanka,England,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2022-11-27,India,New Zealand,"Seddon Park, Hamilton",New Zealand,field,No Result
2004-07-06,England,West Indies,Lord's,West Indies,field,West Indies
2018-01-17,Zimbabwe,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Sri Lanka,field,Zimbabwe
2006-01-29,Australia,Sri Lanka,Western Australia Cricket Association Ground,Sri Lanka,bat,Australia
2017-06-09,Bangladesh,New Zealand,Sophia Gardens,New Zealand,bat,Bangladesh
2024-05-23,England,Pakistan,"County Ground, Derby",Pakistan,field,England
2018-02-07,India,South Africa,Newlands,South Africa,field,India
2024-08-08,Scotland,Netherlands,"VRA Ground, Amstelveen",Scotland,bat,Netherlands
2013-05-05,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,Zimbabwe
2015-07-12,Bangladesh,South Africa,Shere Bangla National Stadium,South Africa,bat,Bangladesh
2024-02-10,Canada,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Canada,bat,Nepal
2019-01-03,New Zealand,Sri Lanka,Bay Oval,New Zealand,bat,New Zealand
2010-07-10,England,Bangladesh,County Ground,England,field,Bangladesh
2024-06-15,West Indies,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Sri Lanka,field,Sri Lanka
2010-01-07,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,bat,India
2022-01-31,South Africa,West Indies,"The Wanderers Stadium, Johannesburg",West Indies,field,No Result
2014-10-19,Sri Lanka,South Africa,Sinhalese Sports Club Ground,Sri Lanka,field,Sri Lanka
2022-01-08,West Indies,Ireland,"Sabina Park, Kingston, Jamaica",Ireland,field,West Indies
2019-09-13,United States of America,Papua New Guinea,Central Broward Regional Park Stadium Turf Ground,United States of America,bat,United States of America
2013-12-20,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,field,Sri Lanka
2017-01-15,India,England,Maharashtra Cricket Association Stadium,India,field,India
2016-06-22,England,Pakistan,"County Ground, New Road",Pakistan,field,England
2003-08-06,Australia,Bangladesh,"Marrara Cricket Ground, Darwin",Australia,bat,Australia
2019-06-28,South Africa,Sri Lanka,Riverside Ground,South Africa,field,South Africa
2003-04-08,Pakistan,Kenya,Sharjah Cricket Association Stadium,Pakistan,bat,Pakistan
2023-09-26,Bangladesh,New Zealand,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,New Zealand
2024-10-04,South Africa,Ireland,"Zayed Cricket Stadium, Abu Dhabi",South Africa,bat,South Africa
2022-03-11,South Africa,Pakistan,"Bay Oval, Mount Maunganui",Pakistan,field,South Africa
2022-01-23,South Africa,India,"Newlands, Cape Town",India,field,South Africa
2007-06-09,Africa XI,Asia XI,"MA Chidambaram Stadium, Chepauk",Asia XI,bat,Asia XI
2018-06-12,England,South Africa,County Ground,South Africa,field,England
2016-01-25,New Zealand,Pakistan,Basin Reserve,Pakistan,field,New Zealand
2017-05-21,South Africa,India,Senwes Park,India,field,India
2007-02-14,South Africa,Pakistan,New Wanderers Stadium,Pakistan,bat,South Africa
2015-08-23,South Africa,New Zealand,Senwes Park,South Africa,bat,New Zealand
2018-10-21,West Indies,India,Barsapara Cricket Stadium,India,field,India
2011-09-16,England,India,Sophia Gardens,England,field,England
