Player,Mat,Runs,HS,Batting Ave,100,Wkts,Bowling Ave,5,Ct,Category
Sir RJ Hadlee (NZ),115,1751,79,21.61,0,158,21.56,5,27,Bowling All-Rounder
Imran Khan (PAK),175,3709,102,33.41,1,182,26.61,1,36,Balanced All-Rounder
IVA Richards (WI),187,6721,189,47.0,11,118,35.83,2,100,Batting All-Rounder
IT Botham (ENG),116,2113,79,23.21,0,145,28.54,0,36,Bowling All-Rounder
Mudassar Nazar (PAK),122,2653,95,25.26,0,111,30.91,1,21,Bowling All-Rounder
N Kapil Dev (IND),225,3783,175,23.79,1,253,27.45,1,71,Bowling All-Rounder
RJ Shastri (IND),150,3108,109,29.04,4,129,36.04,1,40,Batting All-Rounder
PA de Silva (SL),308,9284,145,34.9,11,106,39.4,0,95,Batting All-Rounder
M Prabhakar (IND),130,1858,106,24.12,2,157,28.87,2,27,Bowling All-Rounder
Wasim Akram (PAK),356,3717,86,16.52,0,502,23.52,6,88,Bowling All-Rounder
SP O'Donnell (AUS),87,1242,74,25.34,0,108,28.72,1,22,Bowling All-Rounder
SR Waugh (AUS),325,7569,120,32.9,3,195,34.67,0,111,Batting All-Rounder
CL Hooper (WI),227,5761,113,35.34,7,193,36.05,0,120,Batting All-Rounder
SR Tendulkar (IND),463,18426,200,44.83,49,154,44.48,2,140,Batting All-Rounder
ST Jayasuriya (Asia/SL),445,13430,189,32.36,28,323,36.75,4,123,Batting All-Rounder
CZ Harris (NZ),250,4379,130,29.0,1,203,37.5,1,96,Batting All-Rounder
CL Cairns (ICC/NZ),215,4950,115,29.46,4,201,32.8,1,66,Balanced All-Rounder
SC Ganguly (Asia/IND),311,11363,183,41.02,22,100,38.49,2,100,Batting All-Rounder
WJ Cronje (SA),188,5565,112,38.64,2,114,34.78,1,73,Batting All-Rounder
GW Flower (ZIM),221,6571,142,33.52,6,104,40.62,0,86,Batting All-Rounder
SK Warne (AUS/ICC),194,1018,55,13.05,0,293,25.73,1,80,Bowling All-Rounder
HH Streak (Afr/ZIM),189,2943,79,28.29,0,239,29.82,1,46,Balanced All-Rounder
WPUJC Vaas (Asia/SL),322,2025,50,13.68,0,400,27.53,4,60,Bowling All-Rounder
UDU Chandana (SL),147,1627,89,17.3,0,151,31.9,1,79,Bowling All-Rounder
HDPK Dharmasena (SL),141,1222,69,22.62,0,138,36.21,0,34,Others
